MODEL-English	avg	Q1	Q2	Q3	Q4	Q5	Q6	Q7
Vinai-covid	83.6	86.5	78.4	86.9	88.8	73.4	87.9	83
Vinai-tweet	82.2	86.6	76.5	82.5	90.7	74.8	86.5	78.2
Del-covid	81.3	92.4	76.5	88.5	90.5	68.1	80.5	72.4
Cardi-tweet	81.8	82.8	82	78.7	88.4	73.1	88.7	78.8
Cardi-hate	84.8	88.6	84	85.3	90.6	82.7	85.8	70.7
Cardi-irony	85.7	86.5	96.1	85.2	81.6	81.5	88.7	76.7
Cardi-emotion	84.5	78.2	85.9	91.8	89	81.4	85	80
Cardi-offensive	82.9	90.6	74.5	84.1	92.2	72.6	84.4	81.5
Vinai-covid	83.6	86.5	78.4	86.9	88.8	73.4	87.9	83
Vinai-tweet	82.2	86.6	76.5	82.5	90.7	74.8	86.5	78.2
Del-covid	81.3	92.4	76.5	88.5	90.5	68.1	80.5	72.4
Cardi-tweet	81.8	82.8	82	78.7	88.4	73.1	88.7	78.8
Cardi-hate	84.8	88.6	84	85.3	90.6	82.7	85.8	70.7
Cardi-irony	85.7	86.5	96.1	85.2	81.6	81.5	88.7	76.7
Cardi-emotion	84.5	78.2	85.9	91.8	89	81.4	85	80
Cardi-offensive	82.9	90.6	74.5	84.1	92.2	72.6	84.4	81.5
Ensemble	84.6	90.5	78.4	91.8	85.2	76.9	90.9	78.5
